#NAME	A1	A2	A3	A7	A8	A9
ASV_465	0	0	0	45	23	35
ASV_466	0	0	0	43	60	0
ASV_467	63	0	39	0	0	0
ASV_468	47	0	55	0	0	0
ASV_469	20	30	51	0	0	0
ASV_470	0	101	0	0	0	0
ASV_471	0	0	101	0	0	0
ASV_472	0	0	0	44	22	35
ASV_473	0	0	0	41	25	35
ASV_474	0	0	0	41	24	35
ASV_475	34	37	28	0	0	0
ASV_476	33	27	39	0	0	0
ASV_477	28	36	35	0	0	0
ASV_478	0	0	0	63	19	17
ASV_479	0	0	0	55	44	0
ASV_480	33	32	33	0	0	0
ASV_481	25	35	38	0	0	0
ASV_482	0	0	0	40	0	58
ASV_483	0	0	0	26	24	48
ASV_484	0	0	0	24	46	28
ASV_485	0	0	0	43	25	29
ASV_486	42	0	54	0	0	0
ASV_487	31	32	33	0	0	0
ASV_488	0	32	64	0	0	0
ASV_489	0	0	0	59	20	17
ASV_490	0	0	0	45	16	35
ASV_491	0	0	0	40	16	40
ASV_492	0	0	0	35	24	37
ASV_493	30	32	33	0	0	0
ASV_494	0	0	0	95	0	0
ASV_495	0	0	0	59	0	36
ASV_496	0	0	0	41	21	33
ASV_497	0	0	0	39	24	32
ASV_498	0	0	0	38	20	37
ASV_499	0	0	0	32	39	24
ASV_500	49	45	0	0	0	0
ASV_501	36	26	32	0	0	0
ASV_502	28	32	34	0	0	0
ASV_503	0	94	0	0	0	0
ASV_504	0	41	53	0	0	0
ASV_505	0	0	0	53	0	41
ASV_506	0	0	0	40	18	36
ASV_507	29	32	32	0	0	0
ASV_508	0	0	0	60	0	33
ASV_509	0	0	0	51	0	42
ASV_510	0	0	0	49	0	44
ASV_511	0	0	0	44	27	22
ASV_512	42	26	24	0	0	0
ASV_513	0	0	0	92	0	0
ASV_514	0	0	0	49	22	21
ASV_515	0	0	0	43	49	0
ASV_516	0	0	0	42	20	30
ASV_517	34	21	36	0	0	0
ASV_518	20	20	17	0	0	34
ASV_519	0	0	0	38	26	27
ASV_520	51	39	0	0	0	0
ASV_521	24	0	27	20	0	19
ASV_522	0	0	0	87	3	0
ASV_523	0	0	0	51	0	39
ASV_524	0	0	0	50	11	29
ASV_525	0	0	0	40	24	26
ASV_526	0	14	27	36	0	12
ASV_527	0	0	0	89	0	0
ASV_528	0	0	0	54	0	35
ASV_529	0	0	0	37	22	30
ASV_530	0	0	0	35	21	33
ASV_531	32	21	35	0	0	0
ASV_532	30	22	36	0	0	0
ASV_533	22	33	33	0	0	0
ASV_534	0	0	0	40	0	48
ASV_535	0	0	0	36	31	21
ASV_536	31	29	27	0	0	0
ASV_537	26	21	40	0	0	0
ASV_538	0	0	0	58	0	29
ASV_539	0	0	0	26	29	32
ASV_540	86	0	0	0	0	0
ASV_541	26	35	25	0	0	0
ASV_542	0	39	47	0	0	0
ASV_543	0	0	0	49	0	37
ASV_544	47	0	38	0	0	0
ASV_545	27	22	36	0	0	0
ASV_546	25	24	36	0	0	0
ASV_547	25	31	29	0	0	0
ASV_548	0	0	0	47	0	38
ASV_549	28	26	30	0	0	0
ASV_550	0	43	41	0	0	0
ASV_551	0	0	84	0	0	0
ASV_552	0	0	84	0	0	0
ASV_553	0	0	0	48	36	0
ASV_554	20	31	32	0	0	0
ASV_555	0	43	40	0	0	0
ASV_556	0	0	0	83	0	0
ASV_557	0	0	0	54	0	29
ASV_558	0	0	0	44	0	39
ASV_559	0	0	0	25	29	29
ASV_560	0	31	51	0	0	0
ASV_561	0	0	0	82	0	0
ASV_562	0	0	0	0	51	31
ASV_563	53	0	28	0	0	0
ASV_564	39	42	0	0	0	0
ASV_565	35	27	19	0	0	0
ASV_566	34	0	47	0	0	0
ASV_567	33	21	27	0	0	0
ASV_568	0	0	0	51	0	30
ASV_569	0	0	0	48	0	33
ASV_570	37	17	26	0	0	0
ASV_571	30	26	24	0	0	0
ASV_572	0	31	49	0	0	0
ASV_573	0	24	56	0	0	0
ASV_574	0	0	80	0	0	0
ASV_575	0	0	0	22	21	37
ASV_576	34	26	19	0	0	0
ASV_577	23	30	26	0	0	0
ASV_578	12	0	22	25	0	20
ASV_579	0	0	79	0	0	0
ASV_580	0	0	0	79	0	0
ASV_581	0	0	0	61	0	18
ASV_582	0	0	0	44	0	35
ASV_583	0	0	0	42	0	37
ASV_584	0	0	0	31	0	48
ASV_585	0	0	0	25	23	31
ASV_586	0	0	0	0	33	46
ASV_587	0	0	0	0	0	79
ASV_588	33	20	0	0	0	25
ASV_589	0	78	0	0	0	0
ASV_590	0	0	0	78	0	0
ASV_591	0	0	0	61	17	0
ASV_592	0	0	0	43	0	35
ASV_593	0	0	0	33	20	25
ASV_594	11	8	0	28	18	12
ASV_595	0	0	77	0	0	0
ASV_596	0	0	0	45	0	32
ASV_597	0	0	0	44	0	33
ASV_598	0	0	0	29	26	22
ASV_599	33	17	26	0	0	0
ASV_600	28	20	28	0	0	0
ASV_601	0	76	0	0	0	0
ASV_602	0	0	6	43	0	27
ASV_603	0	0	0	76	0	0
ASV_604	0	0	0	51	0	25
ASV_605	0	0	0	50	0	26
ASV_606	0	0	0	27	21	28
ASV_607	0	0	0	27	18	31
ASV_608	32	18	25	0	0	0
ASV_609	28	23	24	0	0	0
ASV_610	24	24	27	0	0	0
ASV_611	0	0	0	39	0	36
ASV_612	0	0	0	38	0	37
ASV_613	0	0	0	15	40	20
ASV_614	0	0	0	0	75	0
ASV_615	74	0	0	0	0	0
ASV_616	27	20	27	0	0	0
ASV_617	16	30	28	0	0	0
ASV_618	0	37	37	0	0	0
ASV_619	0	35	39	0	0	0
ASV_620	0	0	0	36	0	38
ASV_621	0	0	0	22	24	28
ASV_622	73	0	0	0	0	0
ASV_623	43	0	30	0	0	0
ASV_624	0	0	0	40	0	33
ASV_625	0	0	0	39	0	34
ASV_626	0	35	37	0	0	0
ASV_627	0	0	0	72	0	0
ASV_628	0	0	0	47	0	25
ASV_629	0	0	0	20	23	29
ASV_630	71	0	0	0	0	0
ASV_631	43	0	28	0	0	0
ASV_632	30	17	24	0	0	0
ASV_633	12	30	29	0	0	0
ASV_634	0	0	0	71	0	0
ASV_635	0	0	0	35	12	24
ASV_636	0	0	0	32	16	23
ASV_637	0	0	0	30	41	0
ASV_638	25	17	28	0	0	0
ASV_639	24	0	46	0	0	0
ASV_640	0	0	0	70	0	0
ASV_641	0	0	0	70	0	0
ASV_642	0	0	0	49	0	21
ASV_643	0	0	0	38	13	19
ASV_644	0	0	0	36	34	0
ASV_645	0	0	0	35	17	18
ASV_646	0	0	0	34	21	15
ASV_647	0	0	0	34	13	23
ASV_648	0	0	0	34	36	0
ASV_649	0	0	0	27	24	19
ASV_650	0	0	0	19	23	28
ASV_651	40	29	0	0	0	0
ASV_652	39	30	0	0	0	0
ASV_653	25	0	44	0	0	0
ASV_654	0	0	0	69	0	0
ASV_655	0	0	0	69	0	0
ASV_656	0	0	0	69	0	0
ASV_657	0	0	0	69	0	0
ASV_658	0	0	0	53	0	16
ASV_659	0	0	0	43	26	0
ASV_660	0	0	0	39	0	30
ASV_661	0	0	0	35	20	14
ASV_662	0	0	0	33	0	36
ASV_663	0	0	0	0	43	26
ASV_664	0	0	0	0	23	46
ASV_665	68	0	0	0	0	0
ASV_666	34	0	26	0	8	0
ASV_667	26	19	23	0	0	0
ASV_668	0	33	35	0	0	0
ASV_669	0	29	39	0	0	0
ASV_670	0	13	0	37	0	18
ASV_671	0	0	0	68	0	0
ASV_672	0	0	0	38	0	30
ASV_673	0	0	0	24	26	18
ASV_674	0	0	0	0	42	26
ASV_675	0	0	0	0	0	68
ASV_676	45	0	22	0	0	0
ASV_677	36	0	31	0	0	0
ASV_678	0	0	67	0	0	0
ASV_679	0	0	0	49	0	18
ASV_680	0	0	0	44	0	23
ASV_681	0	0	0	28	39	0
ASV_682	0	0	0	24	12	31
ASV_683	66	0	0	0	0	0
ASV_684	66	0	0	0	0	0
ASV_685	35	0	31	0	0	0
ASV_686	35	31	0	0	0	0
ASV_687	9	0	0	37	0	20
ASV_688	0	0	0	66	0	0
ASV_689	0	0	0	66	0	0
ASV_690	0	0	0	66	0	0
